currEmpName               ,sum,count,mean
"POPULAR SECURITIES, LLC",33,44,0.75
RGT WEALTH ADVISORS     ,14,21,0.666667
ONE SEVEN                ,10,16,0.625
UNION CAPITAL COMPANY     ,9,15,0.6
"NEWBRIDGE FINANCIAL SERVICES GROUP, INC.",42,70,0.6
JOSEPH GUNNAR & CO. LLC                  ,9,15,0.6
"GARDEN STATE INVESTMENT ADVISORY SERVICES, LLC",15,27,0.555556
AEGIS CAPITAL CORP.                            ,44,80,0.55
"WESTPARK CAPITAL, INC.                          ",12,22,0.545455
"PARTNERS CAPITAL SERVICES, INC.                  ",8,15,0.533333
FELTL ADVISORS                                    ,11,21,0.52381
"NPA ASSET MANAGEMENT, LLC                          ",28,54,0.518519
"PROSPERITY FINANCIAL GROUP, INC.                    ",6,12,0.5
"HERBERT J. SIMS CAPITAL MANAGEMENT, INC.             ",13,28,0.464286
SOUTHPORT CAPITAL                                   ,6,13,0.461538
"TCFG INVESTMENT ADVISORS, LLC                      ",12,26,0.461538
"IBN FINANCIAL SERVICES, INC.                        ",6,13,0.461538
IFAM CAPITAL                                        ,5,11,0.454545
JRL CAPITAL ADVISORS LLC                            ,5,11,0.454545
TITAN SECURITIES                                    ,8,18,0.444444
COLONIAL RIVER WEALTH MANAGEMENT LLC               ,7,16,0.4375
ASHTON THOMAS PRIVATE WEALTH                      ,7,16,0.4375
"MILLENNIAL ADVISERS, LLC.                          ",6,14,0.428571
"UNITED ADVISORS SERVICES, LLC                      ",9,21,0.428571
SUMMIT FINANCIAL GROUP INC                         ,135,315,0.428571
"INTERNATIONAL ASSETS INVESTMENT MANAGEMENT, LLC    ",43,101,0.425743
"SIEBERT ADVISORNXT, INC.                           ",11,26,0.423077
"CHELSEA ADVISORY SERVICES, INC                     ",5,12,0.416667
"SEACREST WEALTH MANAGEMENT, LLC                    ",15,36,0.416667
"NATIONAL WEALTH MANAGEMENT GROUP, LLC              ",5,12,0.416667
